title,chapternumber,eyes,comment,heart,kind,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16
Hoàng Hậu Ương Bướng,305,30274586,3081,69850,Cổ Đại,Drama,Manhua,Xuyên Không,,,,,,,,,,,,,
Ta Chẳng Qua Là Một Đại La Kim Tiên,214,30138058,7417,120449,Action,Manhua,,,,,,,,,,,,,,,
Tiên Đế Qui Lai,288,30136405,3326,85401,Manhua,Mystery,Webtoon,,,,,,,,,,,,,,
Vú Em Tiên Tôn Đi Ở Rể,286,30065825,3436,76277,Action,Adventure,Manhua,,,,,,,,,,,,,,
Chư Thiên Ký,315,30040844,3920,48677,Adventure,Chuyển Sinh,Manhua,Mystery,Supernatural,Xuyên Không,,,,,,,,,,,
Thất Nghiệp Chuyển Sinh - Làm Lại Hết Sức,776,29954755,7849,108019,Action,Adventure,Comedy,Fantasy,Harem,Mature,Romance,Seinen,,,,,,,,,
Con tim rung động 2,144,29735366,19501,113213,Manhua,Ngôn Tình,Romance,School Life,,,,,,,,,,,,,
Nhất Kiếm Độc Tôn,207,29551685,2690,101648,Action,Adventure,Manhua,Mystery,,,,,,,,,,,,,
Trước Kia Có Tòa Linh Kiếm Sơn,583,29524333,4346,35968,Action,Manhua,Romance,,,,,,,,,,,,,,
Tu La Kiếm Tôn,294,29255725,1746,71344,Cổ Đại,Fantasy,Manhua,,,,,,,,,,,,,,
Sủng thê thành nghiện: Lục thiếu sủng từ đáy lòng,100,29165962,9983,55304,Drama,Manhua,Ngôn Tình,Romance,,,,,,,,,,,,,
Pháp sư không phép thuật,325,28826062,9330,75925,Action,Fantasy,Manga,Shounen,,,,,,,,,,,,,
Bổn Tế Tu Chính Là Tiện Đạo,217,28720673,6512,114330,Action,Fantasy,Manhua,Mystery,,,,,,,,,,,,,
Tầm Trảo Tiền Thế Chi Lữ,2133,28505870,21593,33390,Comedy,Manhua,Romance,Xuyên Không,,,,,,,,,,,,,
Hành Trình Đế Vương,169,28167973,8332,54521,Action,Adventure,Fantasy,Martial Arts,Seinen,,,,,,,,,,,,
Hóa Long Ký,286,27961623,4843,25017,Đam Mỹ,Manhua,Shounen Ai,,,,,,,,,,,,,,
Tuyệt Thế Phi Đao,276,27947409,3074,43991,Action,Adventure,Manhua,Mystery,Xuyên Không,,,,,,,,,,,,
Tôi Chuyển Vàng Tại Mạt Thế,281,27825543,4719,96245,Action,Mystery,Xuyên Không,,,,,,,,,,,,,,
Người Trong Giang Hồ,2335,27775344,3973,4695,Action,Manhua,Martial Arts,,,,,,,,,,,,,,
Đặc Nhiệm Siêu Cấp Thành Phố,233,27771418,9365,42187,Action,Adventure,Manhua,,,,,,,,,,,,,,
